N,epsilon,transition_prob,discount_factor,global_phase_size,aggregate_phase_size,algorithm,time,iterations,total_updates,error,num_mega_states,t_sa_final,theoretical_bound,speedup_updates
10,0.0005,0.5,0.8,5,20,value_iteration,0.01960956584662199,23,2300,0.0,,,0.005000000000000001,1.0952380952380953
10,0.0005,0.5,0.8,5,20,mega_state_agg,0.03099446790292859,53,2100,0.003048517764865366,30,40,0.005000000000000001,1.0952380952380953
10,0.0005,0.5,0.85,2,5,value_iteration,0.02462098002433777,26,2600,0.0,,,0.006666666666666666,1.3577023498694516
10,0.0005,0.5,0.85,2,5,mega_state_agg,0.026416304986923933,44,1915,0.004910068991678784,30,30,0.006666666666666666,1.3577023498694516
10,0.0005,0.5,0.8,2,5,value_iteration,0.035978352185338736,23,2300,0.0,,,0.005000000000000001,1.464968152866242
10,0.0005,0.5,0.8,2,5,mega_state_agg,0.03165075462311506,37,1570,0.004851524782411687,30,25,0.005000000000000001,1.464968152866242
10,0.0005,0.5,0.8,2,10,value_iteration,0.02213041903451085,23,2300,0.0,,,0.005000000000000001,0.9871244635193133
10,0.0005,0.5,0.8,2,10,mega_state_agg,0.04947509616613388,73,2330,0.004076493064495423,29,60,0.005000000000000001,0.9871244635193133
10,0.0005,0.5,0.85,5,20,value_iteration,0.022593211382627487,26,2600,0.0,,,0.006666666666666666,1.0612244897959184
10,0.0005,0.5,0.85,5,20,mega_state_agg,0.03559796279296279,60,2450,0.006479613650999028,30,45,0.006666666666666666,1.0612244897959184
10,0.0005,0.5,0.85,2,10,value_iteration,0.02333793882280588,26,2600,0.0,,,0.006666666666666666,0.8904109589041096
10,0.0005,0.5,0.85,2,10,mega_state_agg,0.043512619100511074,86,2920,0.005635372720561804,30,70,0.006666666666666666,0.8904109589041096
10,0.0005,0.5,0.9,2,5,value_iteration,0.03152007143944502,30,3000,0.0,,,0.010000000000000002,1.1904761904761905
10,0.0005,0.5,0.9,2,5,mega_state_agg,0.03538157697767019,57,2520,0.009618480043869226,30,40,0.010000000000000002,1.1904761904761905
10,0.0005,0.5,0.9,2,10,value_iteration,0.02549226302653551,30,3000,0.0,,,0.010000000000000002,0.872093023255814
10,0.0005,0.5,0.9,2,10,mega_state_agg,0.05276514822617173,98,3440,0.008306991169096278,30,80,0.010000000000000002,0.872093023255814
10,0.0005,0.5,0.9,5,20,value_iteration,0.02569704782217741,30,3000,0.0,,,0.010000000000000002,1.0452961672473868
10,0.0005,0.5,0.9,5,20,mega_state_agg,0.04430480906739831,74,2870,0.009900330831573712,30,59,0.010000000000000002,1.0452961672473868
10,0.0005,0.5,0.95,2,5,value_iteration,0.02899846900254488,35,3500,0.0,,,0.019999999999999983,0.9803921568627451
